[39m[scheduling-1][0;39m [2026-09-03  14-42-14-09] TRACE org.hibernate.orm.resource.registry  HHH10002501: Releasing registered JDBC resources
[39m[scheduling-1][0;39m [2026-09-03  14-42-14-09] TRACE org.hibernate.orm.resource.jdbc  HHH10003018: Closed logical connection @2001913443
[39m[scheduling-1][0;39m [2026-09-03  14-42-14-09] TRACE i.m.o.SimpleObservation$SimpleScope  NoOp observation used with SimpleScope
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-14-76] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435734766; nextExpiration=0; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-15-77] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435735778; nextExpiration=1788435735766; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-16-78] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435736785; nextExpiration=1788435736778; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-17-79] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435737797; nextExpiration=1788435737785; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-18-80] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435738804; nextExpiration=1788435738797; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-19-80] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435739807; nextExpiration=1788435739804; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-20-80] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435740809; nextExpiration=1788435740807; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-21-82] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435741824; nextExpiration=1788435741809; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-22-83] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435742835; nextExpiration=1788435742824; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-23-83] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435743836; nextExpiration=1788435743835; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-24-84] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435744842; nextExpiration=1788435744836; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-25-85] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435745855; nextExpiration=1788435745842; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-26-86] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435746866; nextExpiration=1788435746855; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-27-88] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435747881; nextExpiration=1788435747866; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-28-89] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435748890; nextExpiration=1788435748881; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-29-90] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435749902; nextExpiration=1788435749890; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-30-90] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435750906; nextExpiration=1788435750902; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-31-91] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435751916; nextExpiration=1788435751906; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-32-92] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435752926; nextExpiration=1788435752916; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-33-94] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435753941; nextExpiration=1788435753926; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-34-95] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435754953; nextExpiration=1788435754941; keyCount=0; hasEvents=false; eval=false
